id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,cleaning_fee,guests_included,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
7021544,f,98109,Apartment,Entire home/apt,4,1,1,2,$715.00 ,"$2,205.00 ",$60.00 ,4,91,10,9,10,10,9,9
1323446,t,98109,Apartment,Entire home/apt,5,1,1,4,$640.00 ,"$2,000.00 ",$10.00 ,2,97,10,10,10,9,10,10
3925573,f,98109,Apartment,Entire home/apt,4,1,1,1,$850.00 ,,$25.00 ,1,100,10,10,10,10,10,9
8723086,f,98109,Apartment,Entire home/apt,4,1,1,2,$525.00 ,"$1,600.00 ",,0,96,10,9,10,10,9,10
781474,f,98109,Boat,Entire home/apt,1,1,1,1,$560.00 ,"$2,195.00 ",$15.00 ,1,90,,10,10,10,8,10
9812439,f,98109,Apartment,Entire home/apt,4,1,1,2,$588.00 ,"$2,058.00 ",$60.00 ,1,,,,,,,
3401644,f,98109,Apartment,Entire home/apt,4,1,1,2,$550.00 ,,$25.00 ,4,88,10,9,9,10,10,10
10036903,f,98109,Apartment,Entire home/apt,3,1,1,1,,,,1,,,,,,,
5310193,f,98109,House,Entire home/apt,6,2,3,3,"$1,600.00 ",,$100.00 ,1,93,9,9,10,9,10,10
5308875,t,98109,Apartment,Entire home/apt,2,1,1,1,,,$50.00 ,1,94,10,10,10,10,10,9
5052459,t,98109,Apartment,Entire home/apt,2,1.5,1,1,$895.00 ,"$3,150.00 ",$60.00 ,2,96,10,10,10,10,10,9
7228499,f,98109,House,Entire home/apt,10,2,2,5,,,$100.00 ,1,92,9,9,10,10,10,9
7651653,f,98109,Apartment,Entire home/apt,2,1,1,1,,"$2,500.00 ",$100.00 ,1,100,10,10,10,10,10,10
1494986,t,98109,Apartment,Entire home/apt,4,1.5,1,2,$925.00 ,"$3,625.00 ",$90.00 ,2,100,10,10,10,10,9,10
1783382,f,98109,Apartment,Entire home/apt,2,1,1,1,$900.00 ,,$40.00 ,1,98,10,9,10,10,9,9
7513198,f,98109,Condominium,Entire home/apt,4,2,2,1,"$1,750.00 ","$5,500.00 ",$75.00 ,3,100,10,10,10,10,10,10
8308316,f,98109,Apartment,Entire home/apt,4,1,2,3,,,$75.00 ,1,97,10,10,10,10,10,10
9694921,f,98109,House,Entire home/apt,5,2,3,3,,,$65.00 ,5,100,10,10,10,10,10,10
2472850,f,98109,Apartment,Entire home/apt,4,1,1,2,,"$3,600.00 ",$35.00 ,1,82,9,8,9,9,9,8
5487522,f,98109,Apartment,Entire home/apt,4,2,2,2,,,,2,89,9,9,9,9,9,9
4016650,t,98109,House,Private room,2,1.5,1,1,,,$30.00 ,1,97,10,10,10,10,9,10
10229434,f,98109,Apartment,Entire home/apt,4,1,1,1,,,,1,,,,,,,
3479241,f,98109,Apartment,Private room,2,1,1,1,$800.00 ,"$2,000.00 ",$30.00 ,1,92,10,9,9,10,10,9
5848400,f,98109,House,Entire home/apt,8,1.5,3,5,,,$264.00 ,1,90,9,10,10,10,10,9
